Sno,year,state,month,number,date
366,2003,Alagoas,Julho,0,01-01-2003
367,2004,Alagoas,Julho,0,01-01-2004
368,2005,Alagoas,Julho,0,01-01-2005
369,2006,Alagoas,Julho,0,01-01-2006
370,2007,Alagoas,Julho,0,01-01-2007
371,2008,Alagoas,Julho,0,01-01-2008
372,2009,Alagoas,Julho,0,01-01-2009
373,2010,Alagoas,Julho,2,01-01-2010
374,2011,Alagoas,Julho,0,01-01-2011
375,2012,Alagoas,Julho,0,01-01-2012
376,2013,Alagoas,Julho,0,01-01-2013
377,2014,Alagoas,Julho,1,01-01-2014
378,2015,Alagoas,Julho,0,01-01-2015
379,2016,Alagoas,Julho,3,01-01-2016
380,2017,Alagoas,Julho,0,01-01-2017
381,1998,Alagoas,Agosto,1,01-01-1998
382,1999,Alagoas,Agosto,3,01-01-1999
383,2000,Alagoas,Agosto,4,01-01-2000
384,2001,Alagoas,Agosto,1,01-01-2001
385,2002,Alagoas,Agosto,3,01-01-2002
386,2003,Alagoas,Agosto,2,01-01-2003
387,2004,Alagoas,Agosto,2,01-01-2004
388,2005,Alagoas,Agosto,2,01-01-2005
389,2006,Alagoas,Agosto,1,01-01-2006
390,2007,Alagoas,Agosto,3,01-01-2007
391,2008,Alagoas,Agosto,1,01-01-2008
392,2009,Alagoas,Agosto,0,01-01-2009
393,2010,Alagoas,Agosto,1,01-01-2010
394,2011,Alagoas,Agosto,4,01-01-2011
395,2012,Alagoas,Agosto,0,01-01-2012
396,2013,Alagoas,Agosto,0,01-01-2013
397,2014,Alagoas,Agosto,3,01-01-2014
398,2015,Alagoas,Agosto,3,01-01-2015
399,2016,Alagoas,Agosto,5,01-01-2016
400,2017,Alagoas,Agosto,1,01-01-2017
401,1998,Alagoas,Setembro,14,01-01-1998
402,1999,Alagoas,Setembro,3,01-01-1999
403,2000,Alagoas,Setembro,22,01-01-2000
404,2001,Alagoas,Setembro,5,01-01-2001
405,2002,Alagoas,Setembro,14,01-01-2002
406,2003,Alagoas,Setembro,8,01-01-2003
407,2004,Alagoas,Setembro,5,01-01-2004
408,2005,Alagoas,Setembro,7,01-01-2005
409,2006,Alagoas,Setembro,4,01-01-2006
410,2007,Alagoas,Setembro,2,01-01-2007
411,2008,Alagoas,Setembro,9,01-01-2008
412,2009,Alagoas,Setembro,13,01-01-2009
413,2010,Alagoas,Setembro,5,01-01-2010
414,2011,Alagoas,Setembro,5,01-01-2011
415,2012,Alagoas,Setembro,6,01-01-2012
416,2013,Alagoas,Setembro,4,01-01-2013
417,2014,Alagoas,Setembro,11,01-01-2014
418,2015,Alagoas,Setembro,7,01-01-2015
419,2016,Alagoas,Setembro,18,01-01-2016
420,2017,Alagoas,Setembro,4,01-01-2017
421,1998,Alagoas,Outubro,20,01-01-1998
422,1999,Alagoas,Outubro,4,01-01-1999
423,2000,Alagoas,Outubro,13,01-01-2000
424,2001,Alagoas,Outubro,15,01-01-2001
425,2002,Alagoas,Outubro,30,01-01-2002
426,2003,Alagoas,Outubro,10,01-01-2003
427,2004,Alagoas,Outubro,12,01-01-2004
428,2005,Alagoas,Outubro,17,01-01-2005
429,2006,Alagoas,Outubro,32,01-01-2006
430,2007,Alagoas,Outubro,6,01-01-2007
431,2008,Alagoas,Outubro,18,01-01-2008
432,2009,Alagoas,Outubro,30,01-01-2009
433,2010,Alagoas,Outubro,16,01-01-2010
434,2011,Alagoas,Outubro,23,01-01-2011
435,2012,Alagoas,Outubro,28,01-01-2012
436,2013,Alagoas,Outubro,25,01-01-2013
437,2014,Alagoas,Outubro,7,01-01-2014
438,2015,Alagoas,Outubro,40,01-01-2015
439,2016,Alagoas,Outubro,74,01-01-2016
440,2017,Alagoas,Outubro,14,01-01-2017
441,1998,Alagoas,Novembro,19,01-01-1998
442,1999,Alagoas,Novembro,15,01-01-1999
443,2000,Alagoas,Novembro,2,01-01-2000
444,2001,Alagoas,Novembro,22,01-01-2001
445,2002,Alagoas,Novembro,50,01-01-2002
446,2003,Alagoas,Novembro,17,01-01-2003
447,2004,Alagoas,Novembro,28,01-01-2004
448,2005,Alagoas,Novembro,25,01-01-2005
449,2006,Alagoas,Novembro,12,01-01-2006
450,2007,Alagoas,Novembro,15,01-01-2007
451,2008,Alagoas,Novembro,37,01-01-2008
452,2009,Alagoas,Novembro,55,01-01-2009
453,2010,Alagoas,Novembro,31,01-01-2010
454,2011,Alagoas,Novembro,23,01-01-2011
455,2012,Alagoas,Novembro,95,01-01-2012
456,2013,Alagoas,Novembro,10,01-01-2013
457,2014,Alagoas,Novembro,14,01-01-2014
458,2015,Alagoas,Novembro,162,01-01-2015
459,2016,Alagoas,Novembro,76,01-01-2016
460,2017,Alagoas,Novembro,10,01-01-2017
461,1998,Alagoas,Dezembro,32,01-01-1998
462,1999,Alagoas,Dezembro,12,01-01-1999
463,2000,Alagoas,Dezembro,2,01-01-2000
464,2001,Alagoas,Dezembro,30,01-01-2001
465,2002,Alagoas,Dezembro,95,01-01-2002
466,2003,Alagoas,Dezembro,43,01-01-2003
467,2004,Alagoas,Dezembro,71,01-01-2004
468,2005,Alagoas,Dezembro,16,01-01-2005
469,2006,Alagoas,Dezembro,30,01-01-2006
470,2007,Alagoas,Dezembro,33,01-01-2007
471,2008,Alagoas,Dezembro,34,01-01-2008
472,2009,Alagoas,Dezembro,55,01-01-2009
473,2010,Alagoas,Dezembro,45,01-01-2010
474,2011,Alagoas,Dezembro,50,01-01-2011
475,2012,Alagoas,Dezembro,59,01-01-2012
476,2013,Alagoas,Dezembro,42,01-01-2013
477,2014,Alagoas,Dezembro,24,01-01-2014
478,2015,Alagoas,Dezembro,136,01-01-2015
479,2016,Alagoas,Dezembro,155,01-01-2016
480,1998,Amapa,Janeiro,0,01-01-1998
481,1999,Amapa,Janeiro,0,01-01-1999
482,2000,Amapa,Janeiro,2,01-01-2000
483,2001,Amapa,Janeiro,0,01-01-2001
484,2002,Amapa,Janeiro,7,01-01-2002
485,2003,Amapa,Janeiro,31,01-01-2003
486,2004,Amapa,Janeiro,38,01-01-2004
487,2005,Amapa,Janeiro,109,01-01-2005
488,2006,Amapa,Janeiro,6,01-01-2006
489,2007,Amapa,Janeiro,0,01-01-2007
490,2008,Amapa,Janeiro,2,01-01-2008
491,2009,Amapa,Janeiro,4,01-01-2009
492,2010,Amapa,Janeiro,2,01-01-2010
493,2011,Amapa,Janeiro,0,01-01-2011
494,2012,Amapa,Janeiro,30,01-01-2012
495,2013,Amapa,Janeiro,3,01-01-2013
496,2014,Amapa,Janeiro,10,01-01-2014
497,2015,Amapa,Janeiro,14,01-01-2015
498,2016,Amapa,Janeiro,19,01-01-2016
499,2017,Amapa,Janeiro,2,01-01-2017
500,1998,Amapa,Fevereiro,0,01-01-1998
501,1999,Amapa,Fevereiro,1,01-01-1999
502,2000,Amapa,Fevereiro,0,01-01-2000
503,2001,Amapa,Fevereiro,0,01-01-2001
504,2002,Amapa,Fevereiro,2,01-01-2002
505,2003,Amapa,Fevereiro,0,01-01-2003
506,2004,Amapa,Fevereiro,2,01-01-2004
507,2005,Amapa,Fevereiro,1,01-01-2005
508,2006,Amapa,Fevereiro,2,01-01-2006
509,2007,Amapa,Fevereiro,0,01-01-2007
510,2008,Amapa,Fevereiro,0,01-01-2008
511,2009,Amapa,Fevereiro,0,01-01-2009
512,2010,Amapa,Fevereiro,0,01-01-2010
513,2011,Amapa,Fevereiro,3,01-01-2011
514,2012,Amapa,Fevereiro,5,01-01-2012
515,2013,Amapa,Fevereiro,0,01-01-2013
516,2014,Amapa,Fevereiro,2,01-01-2014
517,2015,Amapa,Fevereiro,1,01-01-2015
518,2016,Amapa,Fevereiro,1,01-01-2016
519,2017,Amapa,Fevereiro,0,01-01-2017
520,1998,Amapa,Março,0,01-01-1998
521,1999,Amapa,Março,2,01-01-1999
522,2000,Amapa,Março,0,01-01-2000
523,2001,Amapa,Março,0,01-01-2001
524,2002,Amapa,Março,0,01-01-2002
525,2003,Amapa,Março,1,01-01-2003
526,2004,Amapa,Março,0,01-01-2004
527,2005,Amapa,Março,0,01-01-2005
528,2006,Amapa,Março,0,01-01-2006
529,2007,Amapa,Março,0,01-01-2007
530,2008,Amapa,Março,1,01-01-2008
531,2009,Amapa,Março,1,01-01-2009
532,2010,Amapa,Março,2,01-01-2010
533,2011,Amapa,Março,0,01-01-2011
534,2012,Amapa,Março,1,01-01-2012
535,2013,Amapa,Março,0,01-01-2013
536,2014,Amapa,Março,1,01-01-2014
537,2015,Amapa,Março,2,01-01-2015
538,2016,Amapa,Março,5,01-01-2016
539,2017,Amapa,Março,0,01-01-2017
540,1998,Amapa,Abril,0,01-01-1998
541,1999,Amapa,Abril,0,01-01-1999
542,2000,Amapa,Abril,0,01-01-2000
543,2001,Amapa,Abril,0,01-01-2001
544,2002,Amapa,Abril,0,01-01-2002
545,2003,Amapa,Abril,2,01-01-2003
546,2004,Amapa,Abril,0,01-01-2004
547,2005,Amapa,Abril,0,01-01-2005
548,2006,Amapa,Abril,0,01-01-2006
549,2007,Amapa,Abril,0,01-01-2007
550,2008,Amapa,Abril,2,01-01-2008
551,2009,Amapa,Abril,0,01-01-2009
552,2010,Amapa,Abril,2,01-01-2010
553,2011,Amapa,Abril,0,01-01-2011
554,2012,Amapa,Abril,2,01-01-2012
555,2013,Amapa,Abril,2,01-01-2013
556,2014,Amapa,Abril,0,01-01-2014
557,2015,Amapa,Abril,0,01-01-2015
558,2016,Amapa,Abril,0,01-01-2016
559,2017,Amapa,Abril,3,01-01-2017
560,1998,Amapa,Maio,0,01-01-1998
561,1999,Amapa,Maio,0,01-01-1999
